Date,Open,High,Low,Close,Change_percetage,Shares_traded,Turnover_in_croes
09-Nov-15,7921.75,8265.25,7921.75,8246.2,4.1%,59004596,2382.82
10-Nov-15,8230.55,8305,8217.95,8257.7,0.33%,36670424,1744.16
11-Nov-15,8299.5,8330.2,8290.25,8303.95,0.05%,5629613,201.32
13-Nov-15,8263.8,8278,8164.85,8178.3,-1.03%,40270413,1805.71
16-Nov-15,8155.6,8236.55,8110.05,8190.35,0.43%,29977007,1512.71
17-Nov-15,8221.3,8287.55,8199.5,8252.1,0.37%,36171120,1474.43
18-Nov-15,8253.95,8289.05,8172.85,8181,-0.88%,28066566,1386.64
19-Nov-15,8252.25,8315.3,8233.7,8295.05,0.52%,29113545,1641.04
20-Nov-15,8308.05,8392.2,8287.65,8339.4,0.38%,28958499,1768.85
23-Nov-15,8335.1,8410.55,8329.65,8395.35,0.72%,31334056,1668.64
24-Nov-15,8368.9,8396.75,8323.25,8332.9,-0.43%,31854630,1854.42
26-Nov-15,8360.8,8460.85,8339.95,8444.6,1%,53805762,2803.08
27-Nov-15,8493.5,8530.15,8436.75,8443.65,-0.59%,41513391,2002.06
30-Nov-15,8468.4,8563.65,8443.95,8481.85,0.16%,166567419,7704.59
01-Dec-15,8527.2,8527.2,8403,8419,-1.27%,37302119,1855.38
02-Dec-15,8429.8,8437.45,8387.9,8416.4,-0.16%,41159693,1908.41
03-Dec-15,8388.95,8400.45,8323.95,8334.65,-0.65%,36135954,1473.34
04-Dec-15,8286.1,8309.35,8228.85,8240.7,-0.55%,40924540,1524.07
07-Dec-15,8276.6,8288.75,8197.8,8221.5,-0.67%,26231731,1207.96
08-Dec-15,8191.95,8271.5,8181.55,8210.35,0.22%,27950224,1205.92
09-Dec-15,8199.25,8212.8,8059.95,8067.9,-1.6%,28443525,1378.3
10-Dec-15,8123.8,8123.8,8006.55,8085,-0.48%,33505053,1360.48
11-Dec-15,8106,8113.8,7892.95,7943.25,-2.01%,31347884,1252.25
14-Dec-15,7858.75,7988.95,7797.65,7964.05,1.34%,33541768,1456.52
15-Dec-15,7991,8089.8,7930.55,8082.35,1.14%,25079878,1183.06
16-Dec-15,8059.8,8098.05,7997.45,8035.6,-0.3%,31343903,1538.1
17-Dec-15,8080.05,8165.3,7999.4,8149,0.85%,23737217,1329.2
18-Dec-15,8123,8140.65,8067.65,8079.2,-0.54%,32032059,1557.75
21-Dec-15,8092.65,8162.55,8092.65,8154.9,0.77%,15183974,822.32
22-Dec-15,8159.7,8164.55,8091.9,8099.65,-0.74%,15327884,775.68
23-Dec-15,8136.15,8148.4,8104.9,8111,-0.31%,15413335,705.01
24-Dec-15,8134.1,8156.8,8113.95,8136.6,0.03%,15165636,611.87
28-Dec-15,8157.6,8234.85,8156.8,8228.4,0.87%,19381477,1005.19
29-Dec-15,8232.75,8285.15,8232.75,8268.8,0.44%,23289954,983.39
