Date,Open,High,Low,Close,Change_percentage,Share_traded,Turnover_in_crore
09-Nov-15,8019.4,8197.5,7977.45,8175.25,1.94%,27811215,933.39
10-Nov-15,8131.45,8145.9,7865.15,7885.6,-3.02%,24222348,891.93
11-Nov-15,7948.45,7975.65,7934,7943.7,-0.06%,2499916,84.56
13-Nov-15,7862.1,7948.55,7846.2,7932.6,0.9%,20445345,800.31
16-Nov-15,7894.25,7974.75,7867.35,7943.6,0.63%,22973032,838.64
17-Nov-15,7972.45,7981.35,7910.55,7940.45,-0.4%,18257650,617.58
18-Nov-15,7936.05,7976.05,7867.95,7880.05,-0.71%,19731923,594.39
19-Nov-15,7937.3,8039.25,7905.6,8030.35,1.17%,15818356,655.17
20-Nov-15,8030.65,8171.95,8012.75,8126.35,1.19%,25500971,956.38
23-Nov-15,8143.2,8172.8,8103.7,8149.75,0.08%,17573054,693.1
24-Nov-15,8144.55,8263.15,8128,8206.7,0.76%,20754041,852.11
26-Nov-15,8221,8338.8,8198.5,8324.75,1.26%,34723242,1255.45
27-Nov-15,8344.5,8350.65,8245.5,8285.45,-0.71%,17620323,638.8
30-Nov-15,8280.65,8312.8,8220.75,8242.75,-0.46%,36178077,1363.03
01-Dec-15,8246.85,8351.2,8246.85,8288.35,0.5%,19731970,833.58
02-Dec-15,8303.1,8343.45,8288.9,8331.95,0.35%,12938777,574.48
03-Dec-15,8304.5,8364.45,8257.3,8278.25,-0.32%,18540581,711.28
04-Dec-15,8232.75,8262.15,8164.85,8171.7,-0.74%,17698869,655.71
07-Dec-15,8188.05,8208.4,8090.65,8114.35,-0.9%,17168800,706.68
08-Dec-15,8088.35,8109.4,7967.35,7990.8,-1.21%,21242500,692.1
09-Dec-15,7971.05,7988.45,7837.35,7849.45,-1.53%,19481046,639.78
10-Dec-15,7880.3,8058.9,7869.3,8046.1,2.1%,21633627,882.47
11-Dec-15,8054.5,8077.7,7963.1,8002.8,-0.64%,24026709,893.67
14-Dec-15,7958.75,8038.95,7939.65,7997.05,0.48%,16513448,559.43
15-Dec-15,8010.9,8110.1,8002.05,8102.3,1.14%,17051096,686.4
16-Dec-15,8131.8,8259.15,8131.8,8213.85,1.01%,25040137,843.26
17-Dec-15,8236.45,8372.75,8196,8356.65,1.46%,27194735,997.03
18-Dec-15,8326.6,8354.8,8267.45,8277.8,-0.59%,40758747,1072.28
21-Dec-15,8265.75,8365.15,8260.1,8343.75,0.94%,19894904,648.93
22-Dec-15,8353.95,8414.45,8308.8,8325.5,-0.34%,22813328,683.2
23-Dec-15,8364,8465.4,8364,8458.45,1.13%,18750785,735.18
24-Dec-15,8472.95,8497.7,8438.05,8454.9,-0.21%,15192949,590.09
28-Dec-15,8462.15,8568.7,8462.15,8552.7,1.07%,23335604,720.62
29-Dec-15,8562.5,8600.25,8532.7,8568.4,0.07%,27876421,874.13
30-Dec-15,8566.45,8576,8504.6,8517.25,-0.57%,21322270,593.25
31-Dec-15,8512.05,8606.4,8483.15,8584.1,0.85%,37564259,1583.86
01-Jan-16,8562.05,8610.55,8544.45,8594.7,0.38%,10668319,356.18
04-Jan-16,8532.95,8623.1,8427.5,8468.6,-0.75%,23122655,1074.73
05-Jan-16,8510.5,8580,8492.95,8555,0.52%,20024050,811.34
06-Jan-16,8564,8703.75,8505.6,8662.45,1.15%,26610428,1290.55
07-Jan-16,8567.35,8588.8,8431.25,8454.45,-1.32%,29188468,1082.52
08-Jan-16,8514.25,8607.3,8505.75,8586.2,0.85%,28823700,1030.67
11-Jan-16,8503.55,8699.55,8467.7,8656.6,1.8%,32462743,1231.38
12-Jan-16,8673.9,8725.25,8599.3,8616.4,-0.66%,25890344,1080.08
13-Jan-16,8675.45,8780.3,8540.75,8734.65,0.68%,39435973,2299.98
14-Jan-16,8634.65,8775,8559.05,8671.7,0.43%,28979005,1243.89
15-Jan-16,8717.95,8758.35,8573.3,8607.55,-1.27%,32074023,1477.21
18-Jan-16,8598.2,8643.1,8249.75,8289.15,-3.59%,32027136,1289.72
19-Jan-16,8356.75,8461.8,8278.6,8416.8,0.72%,26346691,956.92
20-Jan-16,8339.35,8339.35,8082.25,8179.1,-1.92%,40716866,1727.9
21-Jan-16,8251.8,8314.65,8020.25,8046.35,-2.49%,34507004,1275.58
22-Jan-16,8141.35,8262.25,8128.65,8242.8,1.25%,31349682,1101.14
25-Jan-16,8302.55,8318.8,8195.15,8230.95,-0.86%,30279231,848.71
27-Jan-16,8269.5,8326.6,8221.4,8264.3,-0.06%,34309383,1086.33
28-Jan-16,8284.05,8403.5,8273,8381.3,1.17%,57467718,1843.3
29-Jan-16,8407.95,8549,8407.95,8516.85,1.3%,47465257,1383.45
01-Feb-16,8543.35,8543.35,8437.55,8470.75,-0.85%,26175260,758.85
02-Feb-16,8445.8,8454.15,8187.1,8234.7,-2.5%,34953025,979.26
