Date,Open,High,Low,Close,Change_percentage,Shares_traded,Turnover_in_crore
09-Nov-15,6863.55,7006.15,6842.6,6967.9,1.52%,61480896,2481.14
10-Nov-15,6933.15,6977.6,6883.75,6896.55,-0.53%,42116159,1547.35
11-Nov-15,6936.55,6965.5,6936.55,6945.45,0.13%,9186154,357.64
13-Nov-15,6908.2,6953.95,6859.55,6941.65,0.48%,43901230,1805.56
16-Nov-15,6912.7,7027.15,6903.6,7000.75,1.27%,42595137,1698.69
17-Nov-15,7054.8,7054.8,6964.75,7017.7,-0.53%,44750299,1635.21
18-Nov-15,7008.9,7034.45,6880.45,6889.65,-1.7%,37862022,1429.1
19-Nov-15,6940.3,7025.4,6921.25,7014.6,1.07%,39426484,1694.31
20-Nov-15,7003.35,7079.45,6962.1,6998.8,-0.06%,47308996,1946.14
23-Nov-15,7026.55,7026.55,6945.65,6979.1,-0.68%,42522189,1627.93
24-Nov-15,6964.9,7032.1,6954.7,6997.95,0.47%,38343561,1709.77
26-Nov-15,6999.45,7052.15,6996.15,7017.85,0.26%,68889154,2933.1
27-Nov-15,7034.65,7143.05,7016.75,7125.8,1.3%,48855199,1957.91
30-Nov-15,7106.8,7152,7096.8,7109.35,0.04%,57834665,2581.71
01-Dec-15,7128.3,7145.15,7098.95,7122.2,-0.09%,39604051,1626.34
02-Dec-15,7137.05,7149.9,7032.6,7057.7,-1.11%,34082876,1385.76
03-Dec-15,7030.05,7047.95,6995.6,7005.1,-0.35%,36124987,1474.5
04-Dec-15,6962.8,6962.8,6890.85,6899.1,-0.91%,42124463,1772.8
07-Dec-15,6942.75,6953.7,6919.05,6927.6,-0.22%,30867549,1362.94
08-Dec-15,6902.8,6908.4,6859.1,6864.9,-0.55%,42626654,1701.89
09-Dec-15,6845.75,6879.05,6795.25,6803.4,-0.62%,39041898,1513.79
10-Dec-15,6816.6,6865.5,6795.8,6855.25,0.57%,50321121,2039.97
11-Dec-15,6871.25,6872.4,6702.85,6741.6,-1.89%,61466014,2212.4
14-Dec-15,6677.85,6780.75,6677.85,6765.1,1.31%,48993166,1857.49
15-Dec-15,6757.2,6813.7,6709.85,6801.8,0.66%,46955774,1851.12
16-Dec-15,6827.65,6890.8,6801.5,6873,0.66%,52493819,1969.34
