Date,Open,High,Low,Close,Change_percentage,Shares_traded,Turnover-in_crore
09-Nov-15,19937.05,20552.1,19895.1,20496.15,2.8%,15203700,830.71
10-Nov-15,20409.6,20532.15,20149.8,20215.8,-0.95%,8695492,509.23
11-Nov-15,20335.55,20355.25,20194,20212.55,-0.6%,1171779,68.52
13-Nov-15,20015,20088.85,19828.45,19896.2,-0.59%,18163248,889.62
16-Nov-15,19879.65,20063.5,19872.35,19986.55,0.54%,11578188,632.44
17-Nov-15,20152.15,20501.85,20080.85,20469.1,1.57%,14055342,695.81
18-Nov-15,20537.55,20537.55,20322.6,20411.8,-0.61%,12183650,580.05
19-Nov-15,20523.85,20673.3,20481.65,20642.6,0.58%,15971095,777.13
20-Nov-15,20690.85,20690.85,20409,20449.8,-1.17%,12480842,628.86
23-Nov-15,20415.45,20467.45,20151.35,20166.5,-1.22%,10722743,576.99
24-Nov-15,20244.45,20295.55,20032.1,20184,-0.3%,13846452,751.59
26-Nov-15,20229.95,20441.65,20210.4,20380.45,0.74%,14229174,889.4
27-Nov-15,20461.2,20465.95,20227.4,20436.1,-0.12%,9348988,535.62
30-Nov-15,20399.45,20458,20233.35,20278.55,-0.59%,21446251,1122.43
01-Dec-15,20404.2,20578.65,20328.5,20560.45,0.77%,12727023,691.65
02-Dec-15,20575.55,20689.2,20506.2,20665.6,0.44%,7764386,521.42
03-Dec-15,20540.9,20578.05,20311.6,20346.6,-0.95%,7778053,504.23
04-Dec-15,20235.55,20249.25,20053.65,20087.85,-0.73%,14595596,694.86
07-Dec-15,20080.05,20088.2,19415.3,19534.2,-2.72%,39085384,1485.99
08-Dec-15,19430.6,19718.85,19423.3,19518.6,0.45%,18436838,788.27
09-Dec-15,19672.65,19672.65,19426.15,19448.45,-1.14%,15545290,697.64
10-Dec-15,19487.9,19650.4,19466.35,19624.3,0.7%,10470347,581.17
11-Dec-15,19635.5,19669.5,19456,19624.15,-0.06%,11285277,601.83
14-Dec-15,19589,19753.05,19494.7,19698.7,0.56%,10464010,542.56
15-Dec-15,19714,19966.25,19666.45,19941.65,1.15%,13573728,769.5
16-Dec-15,19991.65,20050.65,19752.6,19790.7,-1.01%,11299770,588.88
17-Dec-15,19775.85,19962.95,19688.3,19940.6,0.83%,21054652,1015.37
18-Dec-15,19972.5,20064.4,19777.85,19813.45,-0.8%,20399737,1016.16
21-Dec-15,19944.15,20167.25,19781.5,20134.85,0.96%,15231353,732.65
22-Dec-15,20088.1,20088.1,19840.2,19904.15,-0.92%,12190517,488.42
23-Dec-15,20008.3,20090.35,19939.9,19983.25,-0.13%,8621382,381.77
