Date,Open,High,Low,Close,Change_percentage,Shares_traded,Turnover_in_crore
03-Jan-22,8989.1,9004,8923.6,8928.85,-0.67%,15318866,1571.93
04-Jan-22,8960.15,8975.8,8837.8,8853.6,-1.19%,19920147,1814.1
05-Jan-22,8879.45,8931.95,8804.25,8826.05,-0.6%,22623046,2474.17
06-Jan-22,8818.3,8868.55,8734.85,8765.2,-0.6%,15345177,1732.55
07-Jan-22,8787.65,8812.95,8732.85,8747.4,-0.46%,14175561,1560.9
10-Jan-22,8770.3,8774.35,8704.55,8755.45,-0.17%,23300100,2224.43
11-Jan-22,8765.75,8825.95,8738.1,8757.75,-0.09%,22418275,2194.5
12-Jan-22,8804.7,8807.4,8712.7,8742.75,-0.7%,18843135,1843.11
13-Jan-22,8759.05,8895.45,8751.75,8864.15,1.2%,26901711,2603.25
14-Jan-22,8852.65,8883.7,8786.3,8807.6,-0.51%,29648970,2198.85
17-Jan-22,8800.05,8808.45,8707.3,8729.35,-0.8%,29389932,2084.74
18-Jan-22,8740,8776.7,8557.55,8571.6,-1.93%,31445223,3878.96
19-Jan-22,8572.55,8576.4,8448.9,8537.2,-0.41%,30512602,3030.82
20-Jan-22,8545.1,8557.1,8403.85,8424.5,-1.41%,21513690,3019.41
21-Jan-22,8397.65,8400.35,8247.65,8302.95,-1.13%,31414288,2976.97
24-Jan-22,8291.6,8300.3,8049.7,8145.2,-1.77%,35283160,3387.33
25-Jan-22,8074.25,8212.6,7978.65,8189.15,1.42%,26120538,2371.61
27-Jan-22,8110.8,8111.15,7949.75,8005.25,-1.3%,41249478,4260.66
28-Jan-22,8012.15,8269.3,8002.4,8125.15,1.41%,36174927,3451.93
31-Jan-22,8202.85,8294.7,8157.65,8233.55,0.37%,29656582,2936.59
01-Feb-22,8299.3,8425.1,8265,8413.35,1.37%,31370436,2913.87
02-Feb-22,8440.95,8571.4,8421.35,8556.8,1.37%,24682336,2260.52
03-Feb-22,8563.7,8569.5,8495.55,8520.4,-0.51%,22258478,1961.75
04-Feb-22,8530.25,8576.4,8483.85,8515.05,-0.18%,24493823,2803.09
07-Feb-22,8508.9,8521.95,8324.1,8358.25,-1.77%,23958391,2098.71
08-Feb-22,8367.65,8449.15,8323.8,8378.3,0.13%,28709598,2484.05
09-Feb-22,8416.55,8486.5,8389.2,8464.8,0.57%,18187958,1912.43
10-Feb-22,8481.3,8511.7,8433.2,8498.4,0.2%,30044726,2574.39
11-Feb-22,8447.15,8469.15,8375.4,8409.65,-0.44%,28021134,3152.45
14-Feb-22,8299.2,8398.7,8217,8235.4,-0.77%,30703901,3505.73
15-Feb-22,8211.75,8345.55,8202.8,8335.3,1.5%,29838419,3103.14
16-Feb-22,8378.3,8423.3,8308.9,8359.4,-0.23%,19792593,2416.69
17-Feb-22,8388.3,8403.6,8290.2,8302.3,-1.03%,19248328,2102.11
18-Feb-22,8278.05,8293.1,8225.75,8238.55,-0.48%,20178663,1972.59
21-Feb-22,8215.65,8243.65,8105.75,8119.7,-1.17%,16422478,1688.16
22-Feb-22,7977.05,8117.75,7960.25,8104.95,1.6%,22327672,2237.92
23-Feb-22,8141.85,8194.35,8103.05,8115.85,-0.32%,16232588,1740.34
24-Feb-22,7919.45,7994.5,7781.45,7801.4,-1.49%,29051646,2709.88
25-Feb-22,7908.7,8084.75,7869.75,8066.9,2%,22305618,2312.12
28-Feb-22,8015.1,8118.1,7957.4,8103.15,1.1%,35185293,3202.53
02-Mar-22,8062.2,8119.1,7949.1,7978.75,-1.04%,31501649,3022.05
03-Mar-22,8044.75,8060.75,7933.35,7952.55,-1.15%,20893049,2297.83
04-Mar-22,7903.7,7965.9,7825.7,7890.35,-0.17%,23905674,2374.82
07-Mar-22,7777.5,7871.45,7697.9,7850.05,0.93%,21206103,2026.9
08-Mar-22,7837.6,8056,7832.15,8041.15,2.6%,28679422,2642.81
09-Mar-22,8100.8,8216.9,8063.15,8165.55,0.8%,30070449,2729.77
10-Mar-22,8248.2,8277.5,8167.5,8183.45,-0.79%,23016263,2069.28
11-Mar-22,8178.95,8412.6,8155.9,8396.05,2.65%,42166723,3750.77
14-Mar-22,8412.9,8437.7,8350.15,8382.35,-0.36%,25904250,2517.6
15-Mar-22,8389.3,8513.1,8292.55,8347.45,-0.5%,31071025,2881.9
16-Mar-22,8437.05,8437.2,8314,8406.65,-0.36%,18545924,1796.58
17-Mar-22,8446.3,8512.1,8446.05,8496.5,0.59%,27888039,3063.69
21-Mar-22,8549.4,8619.7,8472.7,8485.3,-0.75%,31726501,2671.81
22-Mar-22,8493.65,8510.2,8373,8461.15,-0.38%,21518714,2582.9
23-Mar-22,8500.8,8581.05,8459.45,8477.05,-0.28%,25385814,2794.02
24-Mar-22,8432.5,8612.1,8409.45,8579,1.74%,27596955,3025.73
25-Mar-22,8613.1,8623.8,8467.3,8526.05,-1.01%,20049582,2133.62
28-Mar-22,8551.1,8589.3,8436.15,8482.25,-0.81%,21269248,1992.14
29-Mar-22,8509.65,8609.35,8475.9,8595.6,1.01%,23553755,2557.96
30-Mar-22,8641.35,8648.75,8558.55,8582.4,-0.68%,25889216,4176.86
31-Mar-22,8587.95,8609.8,8447.25,8471.6,-1.35%,18328049,2364.81
01-Apr-22,8491.35,8502.2,8421.75,8457.7,-0.4%,14696493,1606.69
04-Apr-22,8497.15,8607.5,8451.75,8597.8,1.18%,15545697,1735.43
05-Apr-22,8631.5,8672.15,8591.25,8612.25,-0.22%,18151900,2241.47
06-Apr-22,8599.35,8664.4,8561.1,8570.5,-0.34%,16603178,1904.22
07-Apr-22,8589.3,8704.8,8584.7,8622,0.38%,20066764,2069.62
08-Apr-22,8662.35,8703.7,8563.85,8656.3,-0.07%,16195532,1982.3
11-Apr-22,8652.6,8719.15,8650.9,8666.65,0.16%,16666955,1647.86
12-Apr-22,8646.5,8691.5,8546.45,8602.25,-0.51%,15495042,1831.95
13-Apr-22,8612.85,8687.55,8590.5,8644.7,0.37%,12710867,1612.33
18-Apr-22,8599.75,8671.55,8512.4,8582.7,-0.2%,13516603,1555.6
19-Apr-22,8626.7,8675.7,8452.2,8518.25,-1.26%,19577313,2461.76
20-Apr-22,8545.2,8630.65,8494.65,8589.8,0.52%,16005149,1843.75
