Date,Open,High,Low,Close,Change_percentage,Shares_traded,Turnover_in_crore
09-Nov-15,11364.55,11427.95,11320.95,11412.15,0.42%,10126396,1009.2
10-Nov-15,11385.7,11387.85,11191.9,11214.2,-1.51%,6966686,736.92
11-Nov-15,11305.2,11312.3,11230.4,11249.7,-0.49%,795240,82.72
13-Nov-15,11110.75,11176.75,11027.1,11102.45,-0.07%,6927725,808.56
16-Nov-15,11011.5,11061.6,10911.1,11003.8,-0.07%,8864946,917.27
17-Nov-15,11032.45,11052.4,10974.55,11035.1,0.02%,10917373,1076.88
18-Nov-15,10967.75,10969.5,10799,10836.7,-1.19%,10167296,1012.92
19-Nov-15,10910.5,11059.85,10893.75,11032.9,1.12%,9850813,1008.63
20-Nov-15,11045.65,11195.75,11036.9,11118.85,0.66%,10781657,1071.38
23-Nov-15,11126.25,11189.5,11084.35,11121.2,-0.05%,8727231,851.3
24-Nov-15,11096.4,11122.05,11036.05,11057.35,-0.35%,7784549,750.17
26-Nov-15,11048.4,11129.25,11013.9,11042.95,-0.05%,15045631,1492.54
27-Nov-15,11064.6,11136.4,11031.45,11122.9,0.53%,7402279,769.3
30-Nov-15,11147.85,11279.65,11083.6,11206,0.52%,21067524,2154.87
01-Dec-15,11216.95,11293.2,11216.95,11256.3,0.35%,9112940,927.1
02-Dec-15,11298.9,11298.9,11134.9,11149.6,-1.32%,7524996,808.63
03-Dec-15,11149.3,11153.7,11067.55,11081.9,-0.6%,9384540,979.29
04-Dec-15,11034.65,11037.95,10940.3,10969.05,-0.59%,10062731,975.55
07-Dec-15,11009.5,11054,10943.85,10998.65,-0.1%,8477753,810.86
08-Dec-15,10989.2,11109.3,10946,10981.85,-0.07%,8486760,825.67
09-Dec-15,10978.25,11027.3,10916.25,10930.05,-0.44%,11006038,1352.4
10-Dec-15,10971.55,11073.15,10931.15,11055.5,0.77%,7908231,832.66
11-Dec-15,11086.55,11086.55,11015.6,11043.05,-0.39%,8502528,901.96
14-Dec-15,10940.75,11124.9,10940.75,11099.7,1.45%,7044052,828.05
15-Dec-15,11139.55,11139.55,11044.35,11058.25,-0.73%,9065922,815.4
16-Dec-15,11081.75,11187.85,11081.75,11144.9,0.57%,8751937,849.05
17-Dec-15,11182.95,11293.05,11122.45,11275.15,0.82%,9556916,909.72
18-Dec-15,11227.15,11227.15,11094.8,11122.5,-0.93%,11781399,1222.45
21-Dec-15,11096.4,11232.5,11067.2,11224.75,1.16%,6043899,641.56
22-Dec-15,11201.8,11201.8,11081.15,11095.45,-0.95%,5998230,636.63
23-Dec-15,11163.8,11206.4,11130.65,11195.65,0.29%,4638075,456.29
24-Dec-15,11193.25,11197.5,11152.85,11184.9,-0.07%,2927864,318.27
28-Dec-15,11152.7,11303.05,11146.85,11271.8,1.07%,8055590,1001.9
29-Dec-15,11257.05,11287.5,11206.6,11253.45,-0.03%,6024174,662.62
30-Dec-15,11247.35,11263.6,11100.1,11117.6,-1.15%,6564991,707.19
31-Dec-15,11113,11233.85,11113,11212.55,0.9%,8197040,859.05
01-Jan-16,11210.25,11221.6,11137.85,11174.85,-0.32%,3126850,319.03
04-Jan-16,11144,11160.95,11004.65,11029.25,-1.03%,7875357,767.78
05-Jan-16,11082.6,11084.6,10945.2,10997.15,-0.77%,7909892,859.88
06-Jan-16,11027.55,11037.4,10979.45,11018.15,-0.09%,8585557,918.75
07-Jan-16,10947.75,10964.65,10822.7,10863.2,-0.77%,10454519,1066.61
08-Jan-16,10933.3,11007.5,10896.45,10989.55,0.51%,7287266,734.59
11-Jan-16,10898.8,10917.45,10797.7,10823.9,-0.69%,9742884,1008.7
12-Jan-16,10850.25,10850.25,10659.25,10790.35,-0.55%,9984443,1085.98
13-Jan-16,10807.85,10860.4,10646.55,10839.85,0.3%,11133904,1322.31
14-Jan-16,10730.65,11068.9,10685.35,10980.45,2.33%,23469653,2526.62
15-Jan-16,11050.65,11057.7,10949.95,10994.95,-0.5%,14012251,1579.57
18-Jan-16,10954.2,11084.4,10954.2,10984,0.27%,11716225,1244.04
19-Jan-16,11052.4,11064.8,10873.6,10963.1,-0.81%,12176980,1166.12
20-Jan-16,10897.8,10945.4,10855.2,10910.5,0.12%,10426978,1015.56
21-Jan-16,10957.95,10994.9,10893.35,10934.7,-0.21%,10558161,1077.39
22-Jan-16,11020.6,11030.65,10961.35,11006.7,-0.13%,7367656,773.08
25-Jan-16,11047,11113.8,11000.25,11025.35,-0.2%,6649189,691.76
27-Jan-16,11052.55,11061.8,10992.45,11029.1,-0.21%,10815699,1007.87
28-Jan-16,11010.1,11073.75,10984.25,11002.7,-0.07%,13918783,1415.82
29-Jan-16,11061.85,11266.75,11024.95,11236.15,1.58%,17438592,1601.88
01-Feb-16,11271.15,11409.1,11234.8,11305.25,0.3%,16768205,1262.37
02-Feb-16,11325.75,11377.95,11182.5,11242.1,-0.74%,19286309,1503.46
03-Feb-16,11179.75,11218.45,11065.8,11122.25,-0.51%,12152041,999.52
04-Feb-16,11178.25,11289.8,11148.15,11213.65,0.32%,10379772,917.55
05-Feb-16,11222.2,11285.1,11188.45,11227.55,0.05%,8207885,760.67
08-Feb-16,11160.85,11190.35,10962.8,11001.45,-1.43%,7344448,673.39
09-Feb-16,10866.2,10866.2,10590.1,10614.25,-2.32%,14971950,1264.94
10-Feb-16,10614.3,10693.9,10570.65,10600.45,-0.13%,13147364,1060.08
11-Feb-16,10615.35,10615.35,10279.7,10312.95,-2.85%,12495553,1025.67
12-Feb-16,10404.6,10462.9,10157.1,10324.45,-0.77%,17610027,1287.84
15-Feb-16,10446.25,10544.45,10437,10493.75,0.45%,12549138,1027.81
16-Feb-16,10487.4,10511.4,10393.6,10418.65,-0.66%,8993279,780.51
17-Feb-16,10429.35,10518.25,10325.25,10502.45,0.7%,17356929,1193.7
18-Feb-16,10554.55,10723.4,10554.45,10702.25,1.4%,16150256,1195.25
19-Feb-16,10670.75,10791.05,10649.75,10768.9,0.92%,10428901,787.83
22-Feb-16,10778.8,10778.8,10691.35,10720.6,-0.54%,9168828,764.93
23-Feb-16,10721.4,10729.6,10575.15,10601.45,-1.12%,8340937,677.14
24-Feb-16,10581,10586.05,10446.4,10468.05,-1.07%,8531990,781.4
25-Feb-16,10469.85,10484.95,10329.2,10403.5,-0.63%,10694119,902.75
26-Feb-16,10488.45,10567.95,10419,10463.35,-0.24%,9415436,790.18
29-Feb-16,10504.4,10504.4,10075.75,10278.4,-2.15%,12161703,1130.7
01-Mar-16,10337.95,10657.1,10313.5,10637.35,2.9%,10385527,968.6
02-Mar-16,10740.45,10920.9,10642.05,10897.1,1.46%,12342461,1109.95
03-Mar-16,10982,11089.45,10950.85,11054.95,0.66%,20107981,1721.26
04-Mar-16,11086.1,11088.1,10930.95,10980.85,-0.95%,23086012,1908.73
08-Mar-16,10928.4,10977.3,10832.25,10914.2,-0.13%,22893639,1947.32
09-Mar-16,10815.05,10947.7,10733.2,10925.8,1.02%,34104849,2559.92
10-Mar-16,10923.75,10924.8,10783.05,10826.9,-0.89%,30038742,2712.52
11-Mar-16,10825.9,10898.7,10805.75,10835.45,0.09%,14674310,1210.76
14-Mar-16,10854.2,10935.65,10836.95,10866.85,0.12%,14231291,1103.71
15-Mar-16,10867.65,10900.25,10709,10730.45,-1.26%,11141197,1013.73
16-Mar-16,10733.7,10819.35,10698.7,10803.2,0.65%,10671044,969.36
17-Mar-16,10854,10961.65,10854,10923.5,0.64%,14035701,1246.39
18-Mar-16,10938.05,11177.25,10938.05,11159.7,2.03%,17103977,1568.44
21-Mar-16,11158.95,11221.8,11093.6,11193.85,0.31%,10929640,1053.87
22-Mar-16,11171.9,11229.25,11118.5,11206.6,0.31%,19527945,1673.32
23-Mar-16,11219.7,11246,11125.1,11228.15,0.08%,17617607,1603.86
28-Mar-16,11328.15,11384.9,11112.85,11168.7,-1.41%,20401896,1961.31
29-Mar-16,11172.8,11188.65,11089,11114.7,-0.52%,14642638,1326.12
30-Mar-16,11127.5,11271.7,11127.5,11254.55,1.14%,14607256,1308.75
31-Mar-16,11240.6,11387.9,11216.45,11309.3,0.61%,28703814,2801.9
01-Apr-16,11306.35,11352.05,11128.05,11194.65,-0.99%,13591384,1334.89
04-Apr-16,11224.9,11407.45,11224.9,11387.7,1.45%,10746882,1037.2
05-Apr-16,11386.55,11399.05,11245.5,11274.95,-0.98%,9810804,971.56
06-Apr-16,11325.1,11325.1,11165.25,11224.95,-0.88%,9646638,903.55
07-Apr-16,11264.6,11264.6,11087.2,11102.6,-1.44%,8675441,935.14
08-Apr-16,11082.25,11085.65,11028.15,11061.15,-0.19%,9261058,829.03
11-Apr-16,11066.25,11304.65,10975.15,11291.35,2.03%,13319300,1314.76
12-Apr-16,11284,11332.85,11243.75,11304.45,0.18%,11757296,1109.21
13-Apr-16,11412.1,11430.95,11330.5,11351.85,-0.53%,14301422,1464.01
18-Apr-16,11493.5,11638.1,11485.15,11597.25,0.9%,27146780,3255.56
20-Apr-16,11697.4,11697.4,11506.15,11552.75,-1.24%,17857029,2016.78
21-Apr-16,11500.45,11514.5,11329.9,11355.4,-1.26%,13926801,1265.52
22-Apr-16,11326.55,11376.05,11292.4,11304.05,-0.2%,10321425,980.95
