Date,Open,High,Low,Close,Change_percentage,Shares_traded,Turnover_in_crore
09-Nov-15,1674.9,1734.85,1668.25,1723.65,2.91%,41033404,513.3
10-Nov-15,1709.05,1710.95,1677.5,1681.45,-1.61%,65530538,680.48
11-Nov-15,1700.6,1704.9,1697.65,1699.15,-0.09%,5076295,61.17
13-Nov-15,1690.35,1714.65,1679.7,1704.05,0.81%,64211221,780.4
16-Nov-15,1696.95,1725.5,1682.8,1720.6,1.39%,58425173,717.24
17-Nov-15,1731.1,1752.8,1729.4,1739.65,0.49%,45720343,538.43
18-Nov-15,1739.8,1746.5,1697,1702.05,-2.17%,48359342,683.15
19-Nov-15,1713.3,1727.55,1699.55,1722.85,0.56%,39522467,497.16
20-Nov-15,1729.4,1744.15,1723.65,1726.1,-0.19%,68971840,731.12
23-Nov-15,1729.5,1729.5,1693.2,1698.3,-1.8%,38588119,468.28
24-Nov-15,1693.95,1708.75,1691.5,1697.25,0.19%,42446920,548.73
26-Nov-15,1704.75,1725.3,1701.05,1715.15,0.61%,58951894,742.47
27-Nov-15,1721.3,1758.15,1717.4,1736.35,0.87%,55339167,656.15
30-Nov-15,1737.25,1750.3,1733.15,1735.8,-0.08%,47904581,694.85
01-Dec-15,1743.4,1796.1,1743.25,1790.9,2.72%,53539232,790.48
02-Dec-15,1805.85,1816,1791.6,1806.15,0.02%,48011621,760.72
03-Dec-15,1795.15,1798.7,1776.15,1779.55,-0.87%,47631486,652.31
04-Dec-15,1768.85,1791.1,1763.85,1776.95,0.46%,38449605,544.79
07-Dec-15,1795.2,1802.55,1767.35,1770.05,-1.4%,33480923,525.9
08-Dec-15,1758.6,1762,1710.1,1713.3,-2.58%,38342940,504.76
09-Dec-15,1704.75,1707.3,1651.3,1658.8,-2.7%,42977444,550.89
10-Dec-15,1667.2,1695.15,1665.85,1690,1.37%,38396213,519.59
11-Dec-15,1700.2,1722.15,1687.05,1699.8,-0.02%,54209602,740.77
14-Dec-15,1695.15,1746.85,1692.9,1740.15,2.65%,50720072,815.72
15-Dec-15,1747.3,1748.65,1725.2,1735.85,-0.66%,30207402,434.73
16-Dec-15,1748,1754.35,1732.8,1737.9,-0.58%,30243385,450.07
17-Dec-15,1747.1,1798.25,1746.95,1795.55,2.77%,67037250,978.92
18-Dec-15,1790.65,1797.2,1768.55,1772.7,-1%,45233521,643.97
21-Dec-15,1778.4,1808.6,1774.6,1800.4,1.24%,37114705,520.92
22-Dec-15,1801.9,1810.3,1778.95,1781.6,-1.13%,32490927,435.42
23-Dec-15,1799.8,1824.35,1799.8,1820.75,1.16%,42100944,572.07
24-Dec-15,1838.1,1840.55,1821.9,1835.85,-0.12%,37469481,465.79
28-Dec-15,1841.6,1844.45,1805.9,1815.95,-1.39%,33013361,484.45
29-Dec-15,1822.85,1827.95,1809.6,1811.95,-0.6%,27098422,415.65
30-Dec-15,1818.75,1835.05,1813.75,1817.75,-0.05%,39618190,578.42
31-Dec-15,1823.2,1829.15,1809.25,1826.85,0.2%,62643231,766.92
01-Jan-16,1826.9,1833.75,1814.35,1830.3,0.19%,18484226,277.47
04-Jan-16,1819.65,1850.95,1794.1,1804.9,-0.81%,42508042,623.3
05-Jan-16,1818.15,1874.45,1808.05,1862.7,2.45%,68102250,1058.26
06-Jan-16,1861.15,1864.5,1820.1,1829.05,-1.72%,43435789,661.41
07-Jan-16,1799.05,1799.05,1735.4,1742.55,-3.14%,56824371,732.35
08-Jan-16,1757,1770,1723.05,1750.8,-0.35%,50066973,659.32
11-Jan-16,1722.3,1755.95,1697.45,1746.15,1.38%,66502756,738.51
12-Jan-16,1751.1,1762.95,1712.9,1725.15,-1.48%,45559031,569
13-Jan-16,1739.9,1750.25,1672.5,1712.7,-1.56%,57173654,702.67
14-Jan-16,1674.3,1708.6,1655.9,1684.15,0.59%,54248217,649.46
15-Jan-16,1699.3,1700.45,1620.5,1624.6,-4.4%,51239839,556.71
18-Jan-16,1615,1654.35,1596.3,1607,-0.5%,60437646,668.31
19-Jan-16,1617.65,1630.95,1592.05,1616.7,-0.06%,66371854,682.64
20-Jan-16,1591.1,1591.1,1537.9,1566.4,-1.55%,62662898,645.63
21-Jan-16,1590,1594.5,1546.05,1552.95,-2.33%,59416222,676.46
22-Jan-16,1575.95,1627.55,1572.9,1622.05,2.93%,73504114,860.95
25-Jan-16,1636.75,1660.1,1635.55,1648.1,0.69%,43751788,616.7
27-Jan-16,1653.75,1657.45,1641.75,1650.4,-0.2%,54774370,731.68
28-Jan-16,1646.2,1655.4,1633.15,1640.65,-0.34%,80968579,1014.86
29-Jan-16,1645.35,1672.1,1645.1,1658.45,0.8%,79900950,914.78
01-Feb-16,1663.85,1667.1,1644.15,1663.75,-0.01%,39885991,564.97
02-Feb-16,1667.3,1673.2,1578.9,1583.6,-5.02%,54619226,663.44
03-Feb-16,1565.7,1588.05,1534.25,1541.75,-1.53%,66188769,794.24
04-Feb-16,1558.35,1594.35,1547.35,1584.1,1.65%,79917516,877.37
05-Feb-16,1578.2,1651.2,1578.2,1643.25,4.12%,126222557,1508.7
08-Feb-16,1664.15,1679.8,1622.85,1629.5,-2.08%,67646701,812.76
09-Feb-16,1606.5,1624.6,1588.7,1599.25,-0.45%,68481038,747.23
10-Feb-16,1587.1,1596.6,1554.95,1589.6,0.16%,62136347,714.75
11-Feb-16,1586.4,1586.6,1507.5,1519.85,-4.2%,54959194,679.6
12-Feb-16,1536.25,1538.1,1450.4,1495.6,-2.65%,83046570,873
15-Feb-16,1536.65,1659.2,1536.65,1642.8,6.91%,112182759,1213.35
16-Feb-16,1665.3,1665.3,1603.65,1611.3,-3.24%,72312028,779.81
17-Feb-16,1613.1,1631.55,1562.9,1627.55,0.9%,80113037,811.87
18-Feb-16,1650.65,1665.9,1612.6,1644.95,-0.35%,82927489,863.96
19-Feb-16,1632.4,1660.8,1622.55,1652.9,1.26%,50762898,641.97
22-Feb-16,1657.95,1673.1,1651.25,1663.65,0.34%,43371369,536.4
23-Feb-16,1664.7,1685.75,1640.55,1644.75,-1.2%,64350392,885.06
24-Feb-16,1626,1639.45,1607.95,1609.8,-1%,58194706,635.86
25-Feb-16,1614.4,1629.7,1606.35,1612.4,-0.12%,68682154,1182.2
26-Feb-16,1626.45,1636.3,1603.75,1629.55,0.19%,51259256,642.03
29-Feb-16,1640.95,1678.95,1609.1,1633.65,-0.44%,74979935,932.97
