Date,Open,High,Low,Close,Change_percentage,Shares_traded,Turnover_in_crore
03-Jan-22,7327.75,7441.75,7327.75,7432.6,1.43%,26692202,1150.41
04-Jan-22,7466.3,7539.85,7452,7532.3,0.88%,49587780,2218.42
05-Jan-22,7530.7,7633.85,7521.65,7623.95,1.24%,71618157,2754.7
06-Jan-22,7601.85,7617.15,7533.6,7608.1,0.08%,58267948,2873.26
07-Jan-22,7642.7,7724.35,7637.55,7703.75,0.8%,81031339,3114.89
10-Jan-22,7741.85,7761.7,7700.25,7733.9,-0.1%,53912959,2121.45
11-Jan-22,7753.75,7781.5,7718.1,7755.3,0.02%,50461527,2815.26
12-Jan-22,7810.35,7874.1,7787.7,7867.95,0.74%,61047754,2931.62
13-Jan-22,7878.8,7924.95,7839.15,7915.4,0.46%,44373707,2249.73
14-Jan-22,7908.7,7941.15,7867.7,7902.05,-0.08%,55144007,3339.73
17-Jan-22,7935.05,7982,7911.9,7949.6,0.18%,74363363,2437.53
18-Jan-22,7976.75,8000.1,7873,7885.5,-1.14%,70533124,2083.27
19-Jan-22,7896.3,7965.35,7872.5,7928.05,0.4%,98086835,3163.45
20-Jan-22,7906.65,7922.15,7804.8,7856.35,-0.64%,52171686,2913.54
21-Jan-22,7808.85,7858.35,7687.65,7766.9,-0.54%,52427625,2644.91
24-Jan-22,7776.5,7817.3,7515,7573,-2.62%,86774113,4073.81
25-Jan-22,7490.15,7663.75,7410.35,7640.85,2.01%,64845465,3851.67
27-Jan-22,7604.9,7639.65,7538.8,7599.8,-0.07%,89779878,3877.01
28-Jan-22,7658.6,7784.35,7624.15,7641.35,-0.23%,82276810,3089.5
31-Jan-22,7735.4,7833.95,7724.25,7754.6,0.25%,70434960,2664.8
01-Feb-22,7795.15,7795.15,7615.6,7698.85,-1.24%,91284015,3372.98
02-Feb-22,7756.05,7767.65,7709.5,7739.45,-0.21%,52422810,2179.06
03-Feb-22,7733.9,7757.15,7629.8,7653.1,-1.04%,64859067,2292.46
04-Feb-22,7678.65,7695.7,7613.65,7626.5,-0.68%,66373960,2426.09
07-Feb-22,7669.95,7686,7578,7615.05,-0.72%,50290488,2105.4
08-Feb-22,7637.3,7654.2,7513.25,7595.75,-0.54%,70054873,2582.3
09-Feb-22,7601.35,7631.65,7565.55,7577.45,-0.31%,73409051,3057.23
10-Feb-22,7609.7,7629.35,7535.85,7610.25,0.01%,86779658,3000.33
11-Feb-22,7570.5,7619.85,7541.55,7601.3,0.41%,69518290,3124.11
14-Feb-22,7490.75,7556.15,7397,7420.85,-0.93%,90133284,2843.18
15-Feb-22,7435.35,7561.6,7337.25,7548.95,1.53%,71671941,2596.85
16-Feb-22,7573.5,7649.1,7549.35,7584.15,0.14%,56490467,2252.43
17-Feb-22,7619.25,7673.15,7589.15,7641.15,0.29%,60891805,2509.5
18-Feb-22,7618.25,7652.2,7546.5,7558.45,-0.78%,36989460,1465.82
21-Feb-22,7530.65,7537.15,7400.8,7411.05,-1.59%,42660611,2009.58
22-Feb-22,7296.35,7357.2,7249.95,7346,0.68%,77328448,2936.42
23-Feb-22,7386.45,7425.45,7321.85,7340.55,-0.62%,56813512,1863.26
24-Feb-22,7158.7,7218.6,6943.65,6960.15,-2.77%,99792208,4386.55
25-Feb-22,7063,7145,7049.4,7082.9,0.28%,76828195,2908.3
28-Feb-22,7016.95,7286.35,6996.9,7268.35,3.58%,108647505,4255.28
02-Mar-22,7264.6,7411.45,7222.4,7355.85,1.26%,131389022,4652.94
03-Mar-22,7472.45,7502.4,7406.95,7463,-0.13%,131331336,3596.05
04-Mar-22,7452.7,7478.05,7344.15,7388,-0.87%,106406896,3335.53
07-Mar-22,7332.7,7404.75,7275.15,7378.75,0.63%,227643091,6061.38
08-Mar-22,7367.65,7434.5,7214.5,7326.9,-0.55%,177728943,5991.56
09-Mar-22,7395.3,7453.2,7350.4,7403.95,0.12%,127952264,4743.78
