Date,Open,High,Low,Close,Change_percentage,Shares_traded,Turnover_in_crore
09-Nov-15,11877.2,12031.65,11753.3,11989.05,0.94%,16691266,1790.56
10-Nov-15,11949.85,12010.2,11605.95,11618.3,-2.77%,14534418,1653.56
11-Nov-15,11674,11769.2,11651.9,11752.9,0.68%,2139489,312.66
13-Nov-15,11651.85,11723.1,11595.8,11640.55,-0.1%,15295989,1647.39
16-Nov-15,11688.45,11768.85,11601.75,11711,0.19%,11892444,1263.03
17-Nov-15,11754.95,11828.85,11720.25,11801.2,0.39%,11383464,1073.41
18-Nov-15,11785.55,11837.35,11692.85,11717.8,-0.57%,9039813,927.94
19-Nov-15,11790.75,11811.75,11576.75,11674.95,-0.98%,12246730,1923.09
20-Nov-15,11690.45,11723.9,11599.4,11685.35,-0.04%,10902088,1032.26
23-Nov-15,11709.3,11749.5,11652.05,11717.15,0.07%,12058492,1026.94
24-Nov-15,11711.9,11738.65,11603.9,11637.85,-0.63%,14518381,1206.2
26-Nov-15,11567.2,11669.1,11536.2,11553.3,-0.12%,20477978,2211.38
27-Nov-15,11620.95,11630.8,11497.2,11567.55,-0.46%,12917186,1292.14
30-Nov-15,11535.5,11561.15,11483.1,11492.9,-0.37%,36111966,2418.15
01-Dec-15,11542.8,11620.25,11536.3,11608.7,0.57%,10458925,1070.03
02-Dec-15,11681.5,11743.45,11617.6,11723.35,0.36%,11825270,1151.11
03-Dec-15,11697.9,11697.9,11567.55,11587.3,-0.95%,8922466,829.84
04-Dec-15,11524.7,11812.7,11489.75,11645.05,1.04%,31236514,2492.72
07-Dec-15,11728.2,11785.35,11693,11762.6,0.29%,11490063,1007.3
08-Dec-15,11725.6,11732.65,11585.45,11610.35,-0.98%,8911193,926.89
09-Dec-15,11560.45,11592.4,11351.45,11372.05,-1.63%,12858988,1296.81
10-Dec-15,11449.55,11449.55,11202.15,11368.15,-0.71%,12690054,1249.71
11-Dec-15,11391.5,11503.1,11311.2,11383.5,-0.07%,9673984,940.97
14-Dec-15,11376.45,11511,11349.15,11488,0.98%,8634448,789.54
15-Dec-15,11515.6,11574.85,11512.05,11554.8,0.34%,7916880,756.96
16-Dec-15,11625.7,11674.55,11608.2,11637.65,0.1%,8394096,808.34
17-Dec-15,11713.35,11785.8,11679.95,11771.8,0.5%,10466424,1053.98
18-Dec-15,11734.5,11823.5,11646.55,11663.8,-0.6%,10305009,1026.06
21-Dec-15,11449.65,11581.85,11416.35,11556.95,0.94%,16764130,1381.88
22-Dec-15,11578.3,11654.15,11569.2,11595.9,0.15%,7640471,658.94
23-Dec-15,11677.15,11823.65,11677.15,11805.85,1.1%,11105705,945.75
24-Dec-15,11880.9,11883.6,11776.75,11795.75,-0.72%,5882684,545.08
28-Dec-15,11816.35,12036.4,11816.35,12009,1.63%,9557994,969.23
29-Dec-15,12050.85,12091.5,11984,12022.35,-0.24%,7420423,807.93
30-Dec-15,12051.05,12060.85,11976.1,11987.25,-0.53%,6726872,706.25
31-Dec-15,12005.3,12031.85,11887.05,11963.5,-0.35%,33008658,1575.28
01-Jan-16,11934.6,12010.9,11911.75,11979.85,0.38%,10091549,552.07
04-Jan-16,11945.3,11983.85,11709.2,11733.7,-1.77%,11809232,876.13
05-Jan-16,11803.25,11812,11689.9,11741.5,-0.52%,11091369,826.11
06-Jan-16,11753.65,11786.45,11650.45,11673.8,-0.68%,15871009,1060.65
07-Jan-16,11585.5,11622.6,11431.35,11451.65,-1.16%,10149939,867.44
08-Jan-16,11523,11629.8,11461.3,11486.6,-0.32%,10042341,880.39
11-Jan-16,11420.6,11430.75,11280.95,11301,-1.05%,12359378,938.61
12-Jan-16,11311.2,11385.4,11311.2,11341.6,0.27%,10101384,887.62
13-Jan-16,11420,11471.85,11121.6,11321.4,-0.86%,12122190,986.51
14-Jan-16,11217.6,11390.35,11182.6,11369.4,1.35%,10928061,969.27
15-Jan-16,11430,11436.65,11234.3,11259.75,-1.49%,8659333,718.65
18-Jan-16,11246.95,11309.5,11051.95,11095.95,-1.34%,12029398,967.66
19-Jan-16,11124.15,11263.8,11095.2,11225.2,0.91%,8204609,672.87
20-Jan-16,11120.7,11213.1,11007.6,11133.65,0.12%,11181141,928.46
21-Jan-16,11241,11243.95,10825.5,10876.6,-3.24%,13167698,1077.53
22-Jan-16,10963.35,11183.25,10928.2,11141.3,1.62%,8013109,676.06
25-Jan-16,11244.7,11349.8,11212.4,11239.4,-0.05%,7878359,664.46
27-Jan-16,11319.15,11364.4,11276.25,11348.8,0.26%,9420468,879.84
28-Jan-16,11313.35,11477.1,11313.35,11440.7,1.13%,12406224,1134.09
29-Jan-16,11489.95,11809.7,11472.3,11755.85,2.31%,13260468,1278.93
01-Feb-16,11837.25,11856.6,11715.55,11742.75,-0.8%,12557538,1171.65
02-Feb-16,11793.7,11811,11398.75,11425.75,-3.12%,16027141,1346.22
03-Feb-16,11399.2,11487.95,11318.85,11343.9,-0.49%,9342138,792.74
04-Feb-16,11424,11465.65,11065.15,11215.5,-1.83%,12435546,1087.71
05-Feb-16,11250.2,11686.4,11145.9,11652.4,3.58%,16222083,1602.17
08-Feb-16,11657.1,11657.1,11470.4,11498.8,-1.36%,9128747,892.06
09-Feb-16,11401.4,11604.25,11401.4,11557,1.36%,12093603,1418.71
10-Feb-16,11477.2,11477.2,11266.1,11352.75,-1.08%,21267191,1856.63
11-Feb-16,11304.05,11381.3,11074.35,11100.1,-1.8%,18521281,1496.4
12-Feb-16,11226.7,11283.35,10810.15,11081.05,-1.3%,20714052,1581.97
15-Feb-16,11198.35,11331.25,11152.35,11191.7,-0.06%,12196559,1041.67
16-Feb-16,11207.85,11250,10917.9,10936.35,-2.42%,10380831,875.86
17-Feb-16,10983.15,11179,10875.7,11148.1,1.5%,10838134,1049
18-Feb-16,11315.75,11446.8,11252.45,11371.35,0.49%,10766082,1092.35
19-Feb-16,11367.9,11381,11250.55,11341.65,-0.23%,8245966,716.02
22-Feb-16,11412.35,11515.15,11378.9,11487.7,0.66%,8233313,715.03
23-Feb-16,11539.75,11570.05,11320.8,11351.3,-1.63%,8738608,760.86
24-Feb-16,11320.4,11326.25,11098.4,11130.2,-1.68%,10364240,845.99
25-Feb-16,11150.1,11215.4,11114,11177.1,0.24%,16609142,1328.26
26-Feb-16,11283.05,11317.35,11144.5,11164.25,-1.05%,11339138,901.41
29-Feb-16,11234.5,11320.6,10900.4,11167.7,-0.59%,18031304,1394.64
01-Mar-16,11224.75,11331.6,11106.35,11294.4,0.62%,11802720,951.63
02-Mar-16,11402.4,11447.9,11262.6,11278.45,-1.09%,14337165,1160.66
03-Mar-16,11379.5,11516.85,11348.3,11502.3,1.08%,12624282,1184.64
04-Mar-16,11555.15,11602.95,11460.6,11537.65,-0.15%,10101376,893.86
08-Mar-16,11558.25,11706.8,11496,11570.35,0.1%,9179927,887.96
09-Mar-16,11580.35,11614.2,11416.55,11601,0.18%,12823355,1033.71
10-Mar-16,11640.25,11641.4,11529.65,11623,-0.15%,10362231,835.61
11-Mar-16,11587.85,11710.75,11517.3,11695.6,0.93%,10296082,915.6
14-Mar-16,11716.35,11781.4,11685.5,11719.2,0.02%,10056687,830.71
15-Mar-16,11656.3,11656.3,11304.8,11325.6,-2.84%,13842024,1373.9
16-Mar-16,11331.85,11407.35,11148.3,11381.75,0.44%,11008934,1037.82
17-Mar-16,11451.7,11454.75,11184.7,11227.4,-1.96%,12168754,1261.54
18-Mar-16,11211.8,11213.6,10922.15,11092.25,-1.07%,23881043,2442.48
21-Mar-16,11141.3,11254.85,11078.75,11235.7,0.85%,14646720,1680.24
22-Mar-16,11244.8,11300.5,11140.45,11217.5,-0.24%,12068560,1352.9
