Date,Open,High,Low,Close,Change_percentage,Shares_traded,Turnover_in_crore
09-Nov-15,166.75,169.55,166.15,168.8,1.23%,70918400,274.1
10-Nov-15,169.2,169.6,163.8,164.35,-2.87%,71471750,262.55
11-Nov-15,167.35,168.9,167.15,168,0.39%,20420832,66.33
13-Nov-15,167.55,168.25,165.45,166.55,-0.6%,46449530,224.67
16-Nov-15,165.25,167.6,164.8,166.55,0.79%,49143958,188.54
17-Nov-15,167.55,168.7,166.2,166.6,-0.57%,46761240,222.19
18-Nov-15,166.55,167.9,163.65,164.05,-1.5%,77952519,255.61
19-Nov-15,164.75,166.1,163.95,164.2,-0.33%,42000093,252.16
20-Nov-15,164.45,166,163.45,163.85,-0.36%,55929010,255.8
23-Nov-15,164.3,166.4,164.3,165.3,0.61%,38001884,176.59
24-Nov-15,165.65,168.65,165.65,167.05,0.85%,53769082,315.1
26-Nov-15,168.25,172.65,167.75,170.55,1.37%,152595493,571.28
27-Nov-15,171.85,172.9,169.7,171.2,-0.38%,85444220,319.78
30-Nov-15,171.75,174.15,171.65,173.3,0.9%,124277823,627.49
01-Dec-15,174.3,175.25,173,173.9,-0.23%,79975961,320.24
02-Dec-15,175,175.15,173.35,174.15,-0.49%,50207144,273.26
03-Dec-15,173.85,176.5,172.95,174.7,0.49%,47615202,246.44
04-Dec-15,173.15,173.95,171.85,172.15,-0.58%,37712027,172.93
07-Dec-15,172.85,174.05,172.3,173.2,0.2%,37935490,181.34
08-Dec-15,172.6,173.2,165.5,166.1,-3.77%,58226121,236.99
09-Dec-15,166.35,166.35,161.8,164.05,-1.38%,75825715,338.05
10-Dec-15,166.4,167.3,164.8,166.85,0.27%,51867221,213.14
11-Dec-15,167.3,167.3,161.6,162.1,-3.11%,69696066,232.23
14-Dec-15,161.2,163.7,160.4,161.8,0.37%,45484211,187.29
15-Dec-15,162.35,163.5,162.1,163.2,0.52%,35687514,160.04
16-Dec-15,164.05,167.4,164.05,165.05,0.61%,54774940,296.12
17-Dec-15,166.3,167.8,165.6,167.3,0.6%,46054781,219.31
18-Dec-15,167.1,169.15,167.05,167.75,0.39%,43740345,226.9
21-Dec-15,168.1,170.65,167.85,169.75,0.98%,50531461,310.03
22-Dec-15,171.45,172.75,169,169.5,-1.14%,58050646,331.32
23-Dec-15,170.85,171.95,170.4,171.55,0.41%,42916201,276.52
24-Dec-15,172.05,172.25,170.5,170.9,-0.67%,33953005,198.28
28-Dec-15,171.15,172.25,170.7,171.8,0.38%,27852885,166.49
29-Dec-15,171.95,173,169.4,169.6,-1.37%,33583095,178.2
30-Dec-15,169.95,170.6,169.3,169.55,-0.24%,33455793,138.13
31-Dec-15,169.9,173.25,169.5,172.6,1.59%,76375855,352.58
01-Jan-16,172.8,176.15,172.15,175.85,1.77%,50399267,303.93
04-Jan-16,175.7,178.05,171.9,172.4,-1.88%,71578711,397.9
05-Jan-16,173.4,176.2,172.35,175.55,1.24%,90351767,528.5
06-Jan-16,175.85,176.85,172.65,173.55,-1.31%,89825491,354.96
07-Jan-16,171.05,171.05,164.2,164.95,-3.57%,92700586,484
08-Jan-16,166,170.85,165.95,169.35,2.02%,85061416,472.88
11-Jan-16,166.85,171.1,165.05,169.75,1.74%,67216397,384.82
12-Jan-16,170.3,170.7,165.75,166.75,-2.08%,82929176,324.21
13-Jan-16,168.5,170.05,160.95,165.1,-2.02%,103088056,498.46
14-Jan-16,162,164.35,160.05,162.45,0.28%,91154354,352.17
15-Jan-16,163.35,164.05,154.3,155.1,-5.05%,65384088,325.04
18-Jan-16,155.35,156.1,149.05,149.4,-3.83%,81486619,356.56
19-Jan-16,150.9,153.4,148.85,152.25,0.89%,64848229,306.56
20-Jan-16,149.8,149.8,144.65,147.05,-1.84%,58493657,281.88
21-Jan-16,149.1,149.9,145.45,147.65,-0.97%,65463859,274.93
22-Jan-16,149.6,151.85,148.8,150.3,0.47%,61420043,299.86
25-Jan-16,152,152.75,150.15,151.15,-0.56%,40889754,197.3
27-Jan-16,152.3,153.35,150.8,152.4,0.07%,46279111,206.69
28-Jan-16,152.2,152.7,150.15,151.2,-0.66%,99074927,246.68
29-Jan-16,151.55,154.5,150.15,153.55,1.32%,61883393,277.08
01-Feb-16,154.15,154.9,152.85,153.85,-0.19%,39411535,215.02
02-Feb-16,153.9,154.55,150.1,150.65,-2.11%,59001747,252.66
03-Feb-16,149.75,150,145.85,146.15,-2.4%,76803796,293.44
04-Feb-16,147.8,148.6,144.8,145.6,-1.49%,57663925,231.21
05-Feb-16,145.9,147.95,145,147.35,0.99%,38396232,174.66
08-Feb-16,147.75,151.75,146.85,147.65,-0.07%,78766119,409.35
09-Feb-16,146.35,147.4,144.85,145.2,-0.79%,43124067,229.5
10-Feb-16,144.15,144.35,139,139.95,-2.91%,72867426,322.66
11-Feb-16,139.1,139.9,130.15,131.5,-5.46%,167557623,401.39
12-Feb-16,132.7,132.7,124.75,129.2,-2.64%,203132331,471.55
15-Feb-16,131.5,138.65,131.5,137.85,4.83%,74374022,299.72
16-Feb-16,139.15,139.7,132.65,133.25,-4.24%,73171613,271.48
17-Feb-16,133.65,134.9,130.2,134.3,0.49%,70652916,282.36
18-Feb-16,135.8,137.3,132.6,134.75,-0.77%,49429399,224.06
19-Feb-16,134.5,137,133.8,134.85,0.26%,64045991,205.56
22-Feb-16,135.5,136,134.8,135.15,-0.26%,50732209,155.15
23-Feb-16,135.25,135.3,131.15,131.45,-2.81%,49722445,170.48
24-Feb-16,131.15,132.05,130.05,131.05,-0.08%,51166501,157.38
25-Feb-16,131.7,131.75,127.55,128.25,-2.62%,148186337,229.36
26-Feb-16,129.35,130.65,127.65,130.1,0.58%,52655743,199.34
29-Feb-16,130.8,132.95,127.9,130.3,-0.38%,74754300,319.45
01-Mar-16,131.4,136.95,130.5,136.65,4%,80082988,373.49
02-Mar-16,139,146.2,138.9,144.4,3.88%,123452138,602.88
03-Mar-16,145.25,146.45,144.4,146.15,0.62%,58351125,255.81
04-Mar-16,146.65,148.85,144.8,147.65,0.68%,74550742,324.64
08-Mar-16,147.65,150.75,147.35,149.05,0.95%,161838766,382.94
09-Mar-16,148.8,152.5,148.5,151.4,1.75%,127953139,329.19
10-Mar-16,152.35,153.2,149.45,150,-1.54%,79668711,274.04
11-Mar-16,149.05,155.05,148.65,149.25,0.13%,127696778,576.71
14-Mar-16,151.35,152.1,148,148.9,-1.62%,85928230,257.57
15-Mar-16,149.5,150.4,148.3,148.9,-0.4%,57980706,248.82
16-Mar-16,149.7,150.8,146.5,148,-1.14%,70024731,289.51
17-Mar-16,150,150.35,146.2,146.6,-2.27%,64321398,232.27
18-Mar-16,147.95,149.7,146.65,149.35,0.95%,63339797,242.3
21-Mar-16,150.15,153.15,149.75,152.3,1.43%,52326645,263.84
22-Mar-16,153.4,157.15,152.05,156.65,2.12%,77154939,451.93
23-Mar-16,156.6,158.1,156,156.45,-0.1%,51590867,252.36
28-Mar-16,155.95,156.7,148.7,149.25,-4.3%,79294176,311.35
29-Mar-16,149.65,151,148.9,149.85,0.13%,67258602,223.91
30-Mar-16,151.4,156.35,151.3,155.7,2.84%,79917150,362.17
31-Mar-16,155.2,157.4,154.55,156.55,0.87%,97233137,325.49
01-Apr-16,157,161.7,155.8,161.35,2.77%,116677711,478.78
04-Apr-16,163.25,164.2,159.4,160.2,-1.87%,67277352,339.32
05-Apr-16,158.65,160.9,155.1,155.5,-1.99%,76955118,426.75
06-Apr-16,155.95,158.1,155.75,157.55,1.03%,55961921,329.32
07-Apr-16,158,159.7,156.75,157.05,-0.6%,58851339,347.87
08-Apr-16,156.7,159.9,156.25,159.1,1.53%,52701054,342.23
11-Apr-16,159.95,162.65,159.95,161.65,1.06%,53186919,331.21
12-Apr-16,162.6,162.95,161.05,161.9,-0.43%,35668284,231.36
13-Apr-16,163.4,166.35,163.4,164.55,0.7%,85603817,343.02
18-Apr-16,164.6,173.35,163.8,172.4,4.74%,66998804,490.3
20-Apr-16,172.2,172.8,170.65,171.8,-0.23%,57962561,369.43
21-Apr-16,172.7,173.7,168.25,168.8,-2.26%,52776365,391.2
22-Apr-16,168.1,169.9,167.65,168.4,0.18%,36709021,214.55
25-Apr-16,168.6,170.05,166.9,167.45,-0.68%,52832492,307.02
26-Apr-16,167.65,170.75,166.95,170.3,1.58%,62340240,331.64
27-Apr-16,170.85,171.75,169.75,169.95,-0.53%,40282162,184.19
28-Apr-16,171.2,175.7,171.2,172.8,0.93%,161302632,946.17
29-Apr-16,173,175.5,170.6,174.8,1.04%,90435636,540.38
02-May-16,173.85,175.8,172.3,173.8,-0.03%,57495730,403.88
03-May-16,174.5,176.95,173.5,173.85,-0.37%,70869601,434.5
04-May-16,173.85,174.35,168.95,169.6,-2.44%,76746872,377.04
05-May-16,169.65,174.2,168.8,171,0.8%,78849548,474.48
06-May-16,170.5,172.7,168.6,171.55,0.62%,63084249,393.83
09-May-16,173.1,175.3,173,174.85,1.01%,49617789,359.4
10-May-16,175,176.8,174.65,175.65,0.37%,45573830,348.44
11-May-16,173,174.8,172.25,173.75,0.43%,121326800,357.59
12-May-16,174,177.6,174,176.3,1.32%,59330503,447.29
13-May-16,176.1,176.75,170.75,171.95,-2.36%,57493060,414.93
16-May-16,172.55,174.75,170.25,174.45,1.1%,57069574,375.41
17-May-16,175.8,178,175.2,175.75,-0.03%,97089028,579.8
18-May-16,175.3,180.05,174.15,179.8,2.57%,82121967,605.26
19-May-16,179.9,183.95,177.9,178.25,-0.92%,143032381,979.25
20-May-16,178.5,179.4,175.35,175.85,-1.48%,67242247,552.05
23-May-16,176.75,177.75,173.35,174.15,-1.47%,55820523,406.06
24-May-16,174.1,174.9,170.95,173.8,-0.17%,72840477,426.32
25-May-16,176.2,177.6,176,176.75,0.31%,59424084,441.22
26-May-16,177.7,181.4,176.1,180.6,1.63%,106222552,576.22
27-May-16,181.9,185.2,181.6,183.35,0.8%,72476967,600.88
30-May-16,184.4,186.45,181.35,181.65,-1.49%,49865405,441.62
02-Jan-17,168.9,173.1,168.1,172.6,2.19%,79939265,514.66
03-Jan-17,173.05,174.45,171.95,173.4,0.2%,43278662,318.12
04-Jan-17,173.85,177.65,173.55,177.25,1.96%,73565874,463.21
05-Jan-17,178.45,179.6,177.5,179.25,0.45%,67576587,357.18
06-Jan-17,179.15,180.8,177.35,177.75,-0.78%,46776656,294.17
09-Jan-17,177.8,180.35,177.75,179.25,0.82%,35571295,249.01
10-Jan-17,179.7,180.7,178.3,178.75,-0.53%,35215101,262.13
11-Jan-17,179.6,179.85,178.65,179.5,-0.06%,36723142,323.31
12-Jan-17,180.05,180.2,178.1,179,-0.58%,26332476,174.28
13-Jan-17,179.4,179.6,177.65,178.8,-0.33%,27831270,194.19
16-Jan-17,179.6,182.95,179.4,181.2,0.89%,55695983,441.21
17-Jan-17,181.8,183.2,181.35,181.9,0.06%,40049535,344.95
18-Jan-17,181.55,182.65,181.15,182,0.25%,35763047,291.34
19-Jan-17,182.1,182.3,180.85,181.4,-0.38%,26886573,186.6
20-Jan-17,180.75,182.55,176.9,177.35,-1.88%,35338133,228.39
23-Jan-17,176.6,180.1,176.45,178.6,1.13%,34770186,262.07
24-Jan-17,178.95,179.8,178.2,179.2,0.14%,21239857,152.69
25-Jan-17,179.9,183.25,179.75,182.5,1.45%,56078304,492.3
27-Jan-17,182.7,183.5,180.3,181.4,-0.71%,72820047,353.22
30-Jan-17,181.4,183.3,180.4,180.7,-0.39%,45995463,249.05
31-Jan-17,181.1,181.2,178.75,179.55,-0.86%,47033725,218.49
01-Feb-17,180.85,189.25,180.25,188.45,4.2%,141329630,822.42
02-Feb-17,188.7,190.6,186.75,188.75,0.03%,78617195,538.29
03-Feb-17,189.35,191.4,188,190.4,0.55%,149355456,322.43
06-Feb-17,192.4,196.8,191.5,194.1,0.88%,159108899,718.48
07-Feb-17,194.7,195.05,191.9,193.05,-0.85%,195486940,368.19
